invoice_id,erp_system,invoice_type,contract_ref,tower_ref,vendor_or_tenant,invoice_date,billing_period,invoiced_amount_usd,expected_amount_usd,payment_status,gl_account,cost_center,po_number,lease_status_at_billing,discrepancy_planted,notes
SI-827357,Oracle Cloud ERP,AR,TL-2FA7866A,CC-TWR-197966,AT&T,2024-12-01,2024-12,4725.34,4725.34,Received,4210-050,CC-SOUTHEAST,PR-635467,Amendment Pending,,
AP-INV-654245,Oracle Cloud ERP,AP,GL-D14757FE,CC-TWR-204053,State DOT,2025-03-01,2025-03,5472.37,5472.37,Paid,6110-002,CC-MIDWEST,REQ-623440,Active,,
SI-363177,Oracle EBS R12,AR,TL-0F9D2E81,CC-TWR-416503,DISH Wireless,2024-07-01,2024-07,2931.95,2931.95,In Collections,4210-100,CC-NORTHEAST,PO-684092,Suspended,billing_suspended,
SI-294751,Oracle Cloud ERP,AR,TL-8F3D1AC8,CC-TWR-653306,AT&T,2025-02-01,2025-02,3370.58,3370.58,Applied,4210-050,CC-MIDWEST,PO-601161,Pending Renewal,,
INV-113203,Workday Financials,AR,TL-3B3626F3,CC-TWR-323508,Verizon,2025-02-01,2025-02,4380.57,4380.57,Received,4210-001,CC-NORTHEAST,PR-605571,Pending Renewal,,
BILL-997704,Workday Financials,AR,TL-75D37FEA,CC-TWR-431246,AT&T,2025-01-01,2025-01,4982.82,4982.82,Received,4210-050,CC-SOUTHWEST,PR-719286,Active,,
INV-971152,SAP S/4HANA,AP,GL-B6CD1481,CC-TWR-472358,Commercial Property Owner,2025-03-01,2025-03,3812.03,3812.03,Pending,6110-100,CC-MIDWEST,PR-624813,Active,,
SI-102994,SAP S/4HANA,AR,TL-22022992,CC-TWR-493663,Verizon,2024-04-01,2024-04,7497.98,7497.98,Received,4210-050,CC-SOUTHEAST,PO-704983,Amendment Pending,,
SI-199507,SAP ECC 6.0,AR,TL-554468F2,CC-TWR-611945,DISH Wireless,2024-05-01,2024-05,3013.48,3013.48,In Collections,4210-001,CC-MIDWEST,PO-753338,Suspended,billing_suspended,
PO-INV-789419,Oracle Cloud ERP,AR,TL-D06FB07A,CC-TWR-701581,T-Mobile,2025-02-01,2025-02,6604.52,6604.52,Received,4210-100,CC-MIDWEST,PR-829012,Active,,
INV-546286,Oracle Cloud ERP,AR,TL-9A4A2A49,CC-TWR-924040,AT&T,2025-01-01,2025-01,3877.02,3877.02,Applied,4210-100,CC-MIDWEST,REQ-808717,Active,,
PO-INV-214353,SAP ECC 6.0,AP,GL-712B7F4E,CC-TWR-999695,Church/Religious Org,2024-09-01,2024-09,2031.32,2031.32,Pending,6110-001,CC-SOUTHEAST,REQ-846631,Active,,
SI-745025,Oracle EBS R12,AR,TL-4D641456,CC-TWR-935457,AT&T,2025-02-01,2025-02,4453.07,4453.07,Pending,4210-100,CC-MIDWEST,PO-774615,Active,,
AP-INV-222509,Oracle EBS R12,AR,TL-3C5D17CA,CC-TWR-992819,AT&T,2024-04-01,2024-04,8546.66,8546.66,Received,4210-100,CC-SOUTHEAST,PO-473554,Active,,
SI-483463,SAP ECC 6.0,AR,TL-A900D707,CC-TWR-824042,Verizon,2025-01-01,2025-01,2895.1,3339.95,Received,4210-100,CC-SOUTHWEST,PO-790710,Pending Renewal,missed_escalation,
SI-544425,SAP ECC 6.0,AR,TL-2FAB12C7,CC-TWR-156213,T-Mobile,2025-03-01,2025-03,5082.96,5082.96,Received,4210-050,CC-SOUTHEAST,PR-989808,Terminated,,
BILL-152358,Oracle Cloud ERP,AR,TL-2865D276,CC-TWR-861319,T-Mobile,2025-03-01,2025-03,4032.52,4032.52,Pending,4210-050,CC-MIDWEST,REQ-998562,Active,,
PO-INV-941942,SAP ECC 6.0,AP,GL-A2CB75D4,CC-TWR-108874,Commercial Property Owner,2024-06-01,2024-06,5485.05,5485.05,Paid,6110-100,CC-WEST,PO-890053,Active,,
PO-INV-461104,Workday Financials,AR,TL-9B4F2145,CC-TWR-153266,AT&T,2024-10-01,2024-10,3641.91,3641.91,Pending,4210-050,CC-NORTHEAST,REQ-403818,Amendment Pending,,
PO-INV-704903,Workday Financials,AP,GL-FF384D2D,CC-TWR-841521,Agricultural Land Trust,2025-02-01,2025-02,3208.13,3208.13,Paid,6110-002,CC-MIDWEST,PO-888630,Active,,
BILL-526984,SAP ECC 6.0,AR,TL-654371E0,CC-TWR-460745,Verizon,2024-10-01,2024-10,6882.7,6695.24,Pending,4210-100,CC-SOUTHEAST,PO-915008,Active,over_escalation,
PO-INV-481086,Oracle Cloud ERP,AR,TL-05F4D689,CC-TWR-608149,AT&T,2024-05-01,2024-05,6690.64,6690.64,Pending,4210-100,CC-NORTHEAST,PR-790426,Pending Renewal,,
SI-430873,SAP ECC 6.0,AR,TL-E831969B,CC-TWR-499226,Verizon,2024-07-01,2024-07,6575.41,6575.41,Pending,4210-001,CC-NORTHEAST,REQ-925057,Amendment Pending,,
AP-INV-784468,Oracle EBS R12,AR,TL-41BB5798,CC-TWR-895667,US Cellular,2024-08-01,2024-08,1440.06,1440.06,Received,4210-100,CC-NORTHEAST,REQ-436954,Active,,
SI-261280,Oracle Cloud ERP,AR,TL-BE270310,CC-TWR-460663,AT&T,2024-10-01,2024-10,5133.88,5133.88,Pending,4210-100,CC-NORTHEAST,REQ-838478,Active,,
SI-246304,SAP ECC 6.0,AR,TL-4004D7B9,CC-TWR-802448,AT&T,2024-11-01,2024-11,5814.3,5814.3,Pending,4210-100,CC-MIDWEST,REQ-438856,Active,,
BILL-471138,SAP S/4HANA,AR,TL-A01D4541,CC-TWR-359168,T-Mobile,2025-02-01,2025-02,2377.94,2377.94,Pending,4210-050,CC-NORTHEAST,PO-954418,Active,,
SI-434865,SAP S/4HANA,AR,TL-BEDC2623,CC-TWR-194458,US Cellular,2024-10-01,2024-10,1962.99,1962.99,Received,4210-001,CC-WEST,PO-415242,Active,,
AP-INV-526899,SAP ECC 6.0,AR,TL-71AA8CE8,CC-TWR-416822,Verizon,2025-02-01,2025-02,5501.98,5440.11,Applied,4210-050,CC-SOUTHWEST,PO-819488,Pending Renewal,amount_mismatch,
BILL-523197,SAP S/4HANA,AP,GL-E6D1BD8F,CC-TWR-174852,Private Individual,2024-05-01,2024-05,11461.1,11461.1,Paid,6110-001,CC-WEST,PO-653271,Active,,
SI-190168,SAP S/4HANA,AP,GL-B6CD1481,CC-TWR-472358,Commercial Property Owner,2025-02-01,2025-02,3812.03,3812.03,Paid,6110-100,CC-MIDWEST,PR-663450,Active,,
INV-770099,Workday Financials,AR,TL-D131E8C2,CC-TWR-568449,AT&T,2024-06-01,2024-06,3803.92,3803.92,Received,4210-050,CC-MIDWEST,REQ-825887,Active,,
PO-INV-687420,Workday Financials,AR,TL-A6A58AE4,CC-TWR-560959,Verizon,2025-03-01,2025-03,2679.07,2679.07,Cleared,4210-050,CC-NORTHEAST,PR-765537,Active,,
BILL-543240,SAP ECC 6.0,AR,TL-C3141934,CC-TWR-440998,T-Mobile,2025-01-01,2025-01,4594.06,4594.06,Pending,4210-001,CC-WEST,PR-912938,Active,,
SI-625559,Workday Financials,AR,TL-8ED093B0,CC-TWR-653306,AT&T,2024-10-01,2024-10,3431.15,3431.15,Received,4210-050,CC-MIDWEST,PR-796736,Active,,
PO-INV-970194,Oracle EBS R12,AP,GL-7E3A4406,CC-TWR-888734,Tribal Authority,2024-12-01,2024-12,4794.72,4794.72,Paid,6110-100,CC-MIDWEST,PO-497941,Active,,
SI-951141,SAP S/4HANA,AR,TL-D4159E50,CC-TWR-397005,DISH Wireless,2024-12-01,2024-12,2767.31,2767.31,In Collections,4210-001,CC-MIDWEST,PR-997502,Suspended,billing_suspended,
AP-INV-541092,SAP S/4HANA,AR,TL-65696B13,CC-TWR-211486,T-Mobile,2025-03-01,2025-03,4231.08,4231.08,Pending,4210-001,CC-SOUTHWEST,REQ-768162,Active,,
PO-INV-776319,Workday Financials,AR,TL-9B41EC68,CC-TWR-778636,T-Mobile,2024-07-01,2024-07,4072.22,4072.22,Applied,4210-001,CC-SOUTHWEST,PO-895499,Active,,
PO-INV-356995,SAP ECC 6.0,AR,TL-C0BBFAF2,CC-TWR-251275,Verizon,2024-12-01,2024-12,4127.07,4127.07,Applied,4210-001,CC-SOUTHEAST,REQ-509215,Active,,
INV-739527,Oracle EBS R12,AR,TL-5F5B52A9,CC-TWR-665610,AT&T,2024-07-01,2024-07,5005.59,5005.59,Received,4210-001,CC-SOUTHWEST,PR-503664,Amendment Pending,,
PO-INV-979397,Oracle Cloud ERP,AR,TL-9D263C79,CC-TWR-784488,T-Mobile,2024-09-01,2024-09,6866.57,7109.86,Received,4210-001,CC-MIDWEST,REQ-472486,Active,amount_mismatch,
INV-822573,SAP ECC 6.0,AR,TL-A4B71A00,CC-TWR-502810,T-Mobile,2024-05-01,2024-05,6260.15,6260.15,Pending,4210-100,CC-SOUTHEAST,PO-551965,Active,,
AP-INV-368153,Oracle Cloud ERP,AR,TL-45886BD0,CC-TWR-902784,AT&T,2024-10-01,2024-10,4385.09,4588.69,Cleared,4210-001,CC-SOUTHEAST,REQ-594769,Active,amount_mismatch,
BILL-915296,SAP S/4HANA,AR,TL-3F9BF979,CC-TWR-861411,US Cellular,2024-09-01,2024-09,3138.08,3138.08,Received,4210-100,CC-SOUTHWEST,PR-867736,Active,,
SI-292323,Oracle EBS R12,AR,TL-9EA0C64F,CC-TWR-521126,T-Mobile,2024-10-01,2024-10,2239.63,2239.63,Applied,4210-050,CC-MIDWEST,PR-655041,Active,,
INV-410246,Workday Financials,AR,TL-8AD98F74,CC-TWR-460663,Verizon,2024-05-01,2024-05,3158.85,3158.85,Received,4210-050,CC-NORTHEAST,PR-565628,Active,,
SI-480064,SAP S/4HANA,AR,TL-7DA7B0ED,CC-TWR-478638,DISH Wireless,2025-02-01,2025-02,5278.16,5278.16,Partial,4210-100,CC-WEST,PO-694330,Suspended,billing_suspended,
AP-INV-195965,Oracle EBS R12,AR,TL-9F618690,CC-TWR-403915,AT&T,2025-01-01,2025-01,3873.3,3873.3,Applied,4210-001,CC-SOUTHEAST,REQ-926692,Active,,
AP-INV-895789,Oracle EBS R12,AP,GL-36D063C3,CC-TWR-571404,Church/Religious Org,2025-01-01,2025-01,4283.77,4283.77,Paid,6110-002,CC-NORTHEAST,REQ-849815,Active,,
AP-INV-345148,Workday Financials,AR,TL-D131E8C2,CC-TWR-568449,AT&T,2024-09-01,2024-09,3803.92,3803.92,Applied,4210-050,CC-MIDWEST,PO-960312,Active,,
BILL-153710,SAP S/4HANA,AR,TL-62E20F8C,CC-TWR-399607,ATT,2024-10-01,2024-10,3426.39,3426.39,Received,4210-050,CC-WEST,REQ-795297,Active,carrier_name,
INV-673453,Oracle Cloud ERP,AR,TL-0C801023,CC-TWR-786393,AT&T,2025-01-01,2025-01,2515.22,2515.22,Cleared,4210-001,CC-NORTHEAST,PO-817596,Active,,
AP-INV-231355,Oracle Cloud ERP,AR,TL-C735CD76,CC-TWR-479430,AT&T,2024-04-01,2024-04,2605.5,2605.5,Applied,4210-050,CC-MIDWEST,PR-688124,Active,,
INV-448252,Workday Financials,AP,GL-EFA14FF1,CC-TWR-922157,County Government,2024-07-01,2024-07,11013.2,11013.2,Pending,6110-002,CC-SOUTHEAST,PO-794859,Active,,
PO-INV-222570,Oracle EBS R12,AR,TL-D17F110A,CC-TWR-121322,AT&T,2025-03-01,2025-03,4570.81,4570.81,Applied,4210-050,CC-MIDWEST,REQ-455454,Active,,
PO-INV-219248,Oracle EBS R12,AR,TL-971752FF,CC-TWR-786406,Verizon,2024-08-01,2024-08,8419.8,8419.8,Received,4210-050,CC-SOUTHEAST,PR-562803,Active,,
INV-278872,Oracle Cloud ERP,AP,GL-CA0200F6,CC-TWR-205239,County Government,2024-09-01,2024-09,732.29,732.29,Paid,6110-100,CC-NORTHEAST,PO-496594,Active,,
PO-INV-328544,Oracle EBS R12,AR,TL-4D847ECB,CC-TWR-397809,Verizon,2024-10-01,2024-10,9107.01,9107.01,Received,4210-100,CC-MIDWEST,REQ-832201,Active,,
PO-INV-254342,Oracle EBS R12,AR,TL-5F8BEA93,CC-TWR-256175,AT&T,2024-07-01,2024-07,2198.72,2198.72,Received,4210-050,CC-SOUTHEAST,PO-659286,Pending Renewal,,
SI-678357,Workday Financials,AR,TL-3B5B3CB1,CC-TWR-208214,T-Mobile,2024-12-01,2024-12,2201.57,2201.57,Received,4210-050,CC-SOUTHEAST,PO-447024,Active,,
INV-749990,SAP S/4HANA,AR,TL-B408F881,CC-TWR-359168,Verizon,2025-03-01,2025-03,5773.27,5773.27,Cleared,4210-050,CC-NORTHEAST,PR-611582,Active,,
BILL-701398,Oracle Cloud ERP,AR,TL-8DF26090,CC-TWR-579404,DISH Wireless,2024-05-01,2024-05,2208.11,2208.11,In Collections,4210-100,CC-SOUTHWEST,PR-496606,Suspended,billing_suspended,
INV-208226,Oracle Cloud ERP,AR,TL-A4AA058E,CC-TWR-214119,T-Mobile,2024-10-01,2024-10,3844.56,5888.08,Received,4210-050,CC-NORTHEAST,PR-678815,Active,missed_escalation,
SI-773160,SAP S/4HANA,AR,TL-51B254FF,CC-TWR-561477,AT&T,2025-02-01,2025-02,4285.59,4144.67,Cleared,4210-050,CC-NORTHEAST,REQ-593993,Pending Renewal,over_escalation,
PO-INV-420673,Oracle EBS R12,AR,TL-23DCBB04,CC-TWR-992819,T-Mobile,2024-09-01,2024-09,4710.55,4710.55,Received,4210-100,CC-SOUTHEAST,PR-715694,Active,,
PO-INV-767016,SAP ECC 6.0,AR,TL-ED176DED,CC-TWR-961957,T-Mobile,2025-02-01,2025-02,2678.91,2678.91,Pending,4210-100,CC-SOUTHWEST,REQ-709754,Active,,
INV-127582,SAP S/4HANA,AR,TL-E08AD00F,CC-TWR-996840,AT&T,2024-09-01,2024-09,5942.36,5942.36,Received,4210-001,CC-SOUTHEAST,PO-813736,Active,,
AP-INV-531537,Oracle EBS R12,AR,TL-C70594F2,CC-TWR-750810,US Cellular,2025-03-01,2025-03,2360.41,3636.01,Received,4210-100,CC-SOUTHEAST,PO-505890,Active,missed_escalation,
PO-INV-694479,Oracle EBS R12,AR,TL-F299A3A2,CC-TWR-162804,AT&T,2024-11-01,2024-11,3374.66,3374.66,Applied,4210-001,CC-MIDWEST,PO-794136,Active,duplicate,
AP-INV-523688,SAP ECC 6.0,AR,TL-CADAC36B,CC-TWR-421549,Verizon,2024-04-01,2024-04,5694.15,5694.15,Received,4210-050,CC-SOUTHWEST,REQ-687737,Amendment Pending,,
AP-INV-860742,SAP S/4HANA,AR,TL-7541AD80,CC-TWR-755420,DISH Wireless,2025-02-01,2025-02,3619.53,3619.53,Disputed,4210-001,CC-WEST,PR-741993,Suspended,billing_suspended,
SI-585265,Oracle EBS R12,AP,GL-5A509748,CC-TWR-384076,Federal Agency,2024-10-01,2024-10,2053.35,2053.35,Paid,6110-001,CC-SOUTHEAST,PO-563800,Active,,
INV-540953,Workday Financials,AR,TL-D38D1FC5,CC-TWR-863611,T-Mobile,2024-07-01,2024-07,4765.77,4765.77,Received,4210-050,CC-SOUTHEAST,PR-838594,Active,,
BILL-966568,Oracle EBS R12,AP,GL-CBA2FA5C,CC-TWR-646428,Municipality,2024-12-01,2024-12,5786.24,8380.2,Paid,6110-002,CC-SOUTHWEST,PR-676016,Active,missed_escalation,
SI-567974,SAP ECC 6.0,AR,TL-0BD4CEF2,CC-TWR-291961,AT&T,2024-10-01,2024-10,4473.64,4473.64,Cleared,4210-100,CC-SOUTHEAST,REQ-944319,Active,,
SI-548922,Oracle Cloud ERP,AP,GL-7008CADB,CC-TWR-866288,Commercial Property Owner,2024-08-01,2024-08,3965.29,3965.29,Pending,6110-002,CC-WEST,REQ-689608,Active,,
PO-INV-419293,SAP S/4HANA,AR,TL-477C619A,CC-TWR-491439,C Spire,2024-11-01,2024-11,1321.52,1321.52,Applied,4210-050,CC-SOUTHWEST,PO-500844,Active,,
PO-INV-133644,Oracle EBS R12,AR,TL-95298213,CC-TWR-497562,US Cellular,2024-09-01,2024-09,2695.17,2695.17,Cleared,4210-100,CC-MIDWEST,PR-917879,Active,,
INV-634540,Oracle EBS R12,AR,TL-5572C981,CC-TWR-150126,AT&T,2024-12-01,2024-12,3020.97,3020.97,Pending,4210-001,CC-SOUTHEAST,PO-518001,Active,,
SI-801853,SAP ECC 6.0,AR,TL-DE22B43B,CC-TWR-902784,Verizon,2024-06-01,2024-06,5443.53,5443.53,Pending,4210-050,CC-SOUTHEAST,PR-744856,Active,,
PO-INV-278374,SAP ECC 6.0,AP,GL-61728CC9,CC-TWR-741079,Municipality,2024-05-01,2024-05,1878.2,1878.2,Paid,6110-002,CC-SOUTHEAST,PO-904059,Active,,
AP-INV-505342,Oracle Cloud ERP,AP,GL-A04AC4F9,CC-TWR-691912,Agricultural Land Trust,2024-04-01,2024-04,4076.58,4076.58,Paid,6110-002,CC-NORTHEAST,PO-760369,Pending Renewal,,
SI-638804,Oracle EBS R12,AR,TL-8CE01FA8,CC-TWR-358207,AT&T,2024-04-01,2024-04,5046.98,5046.98,Received,4210-001,CC-MIDWEST,REQ-590193,Pending Renewal,,
AP-INV-290739,SAP ECC 6.0,AP,GL-F49EB3DD,CC-TWR-825391,Commercial Property Owner,2025-03-01,2025-03,3691.24,3691.24,Paid,6110-100,CC-SOUTHEAST,PR-569583,Active,,
INV-204365,SAP ECC 6.0,AR,TL-5F20E912,CC-TWR-783176,Verizon,2025-02-01,2025-02,7388.63,7388.63,Received,4210-001,CC-SOUTHEAST,PO-670027,Amendment Pending,,
BILL-964590,SAP ECC 6.0,AP,GL-BF8A690E,CC-TWR-245308,Federal Agency,2025-01-01,2025-01,872.41,872.41,Pending,6110-002,CC-SOUTHWEST,PO-607029,Pending Termination,,
SI-977313,SAP ECC 6.0,AP,GL-47BA81F6,CC-TWR-770872,Federal Agency,2024-11-01,2024-11,1436.05,1421.84,Cleared,6110-002,CC-SOUTHWEST,REQ-555773,Pending Renewal,over_escalation,
PO-INV-241081,Oracle EBS R12,AP,GL-891FECF4,CC-TWR-831514,Tribal Authority,2024-06-01,2024-06,3589.95,3589.95,Cleared,6110-100,CC-MIDWEST,PR-885478,Active,,
AP-INV-986615,Oracle EBS R12,AR,TL-5A153394,CC-TWR-414546,T-Mobile,2024-12-01,2024-12,2974.84,2974.84,Received,4210-001,CC-NORTHEAST,PO-944035,Active,duplicate,
PO-INV-858903,SAP ECC 6.0,AR,TL-301E787C,CC-TWR-139807,AT&T,2024-12-01,2024-12,3131.27,3131.27,Cleared,4210-050,CC-MIDWEST,PR-753047,Active,,
AP-INV-256925,SAP S/4HANA,AR,TL-D10CF1F8,CC-TWR-741079,Verizon,2024-06-01,2024-06,6029.98,6029.98,Received,4210-100,CC-SOUTHEAST,PR-446243,Active,,
INV-207888,Oracle Cloud ERP,AR,TL-94E94193,CC-TWR-766275,Verizon,2024-06-01,2024-06,4043.68,4043.68,Received,4210-100,CC-SOUTHEAST,PO-746763,Active,,
BILL-172957,SAP S/4HANA,AP,GL-2AE3B686,CC-TWR-741390,Municipality,2024-08-01,2024-08,3665.76,3665.76,Paid,6110-002,CC-MIDWEST,PR-435286,Active,,
INV-923312,Oracle Cloud ERP,AR,TL-B32BE973,CC-TWR-272529,T-Mobile,2024-11-01,2024-11,3213.71,3213.71,Applied,4210-100,CC-NORTHEAST,REQ-413597,Active,,
SI-204455,Workday Financials,AR,TL-2630A8C8,CC-TWR-672547,T-Mobile,2025-01-01,2025-01,3943.1,3943.1,Cleared,4210-001,CC-NORTHEAST,PR-407690,Pending Renewal,,
AP-INV-171028,SAP S/4HANA,AR,TL-8426E65D,CC-TWR-373791,T-Mobile,2025-01-01,2025-01,2904.47,2904.47,Cleared,4210-001,CC-MIDWEST,REQ-965642,Active,,
BILL-848408,SAP ECC 6.0,AR,TL-55461279,CC-TWR-234443,T Mobile,2024-05-01,2024-05,4185.02,4185.02,Received,4210-050,CC-MIDWEST,PO-628581,Active,carrier_name,
AP-INV-719050,SAP ECC 6.0,AP,GL-3F093822,CC-TWR-964226,Private Individual,2024-08-01,2024-08,7614.79,7614.79,Pending,6110-002,CC-SOUTHEAST,PO-549599,Active,,
PO-INV-644508,Oracle Cloud ERP,AP,GL-5C230DB3,CC-TWR-728950,County Government,2024-10-01,2024-10,3339.74,3339.74,Pending,6110-001,CC-NORTHEAST,PO-483084,Active,,
AP-INV-536979,Oracle EBS R12,AR,TL-9B95AF5A,CC-TWR-831514,Verizon,2024-07-01,2024-07,6440.53,6440.53,Received,4210-050,CC-MIDWEST,REQ-432558,Active,,
SI-628625,SAP ECC 6.0,AR,TL-B55D77BE,CC-TWR-935457,T-Mobile,2025-03-01,2025-03,2234.68,2234.68,Received,4210-100,CC-MIDWEST,REQ-739530,Amendment Pending,,
SI-588834,Workday Financials,AR,TL-BA635D1B,CC-TWR-245308,AT&T Mobility,2024-08-01,2024-08,6398.02,6398.02,Received,4210-100,CC-SOUTHWEST,REQ-582196,Active,carrier_name,
BILL-569882,SAP ECC 6.0,AR,TL-5E47AFF3,CC-TWR-749253,AT&T,2024-12-01,2024-12,2630.21,2630.21,Applied,4210-001,CC-SOUTHEAST,PO-838177,Active,,
PO-INV-344460,SAP ECC 6.0,AR,TL-58A975BC,CC-TWR-988319,T-Mobile,2025-03-01,2025-03,5027.53,5027.53,Pending,4210-050,CC-WEST,PO-951797,Active,,
AP-INV-670872,Oracle EBS R12,AP,GL-9B7E0382,CC-TWR-717661,Agricultural Land Trust,2024-11-01,2024-11,1540.92,1540.92,Paid,6110-100,CC-SOUTHEAST,REQ-600200,Active,,
AP-INV-774077,Workday Financials,AR,TL-77F51644,CC-TWR-283188,Verizon,2024-07-01,2024-07,4188.74,4188.74,Received,4210-001,CC-NORTHEAST,PR-724988,Active,,
INV-942546,SAP S/4HANA,AP,GL-0C01F0E2,CC-TWR-794663,Federal Agency,2024-05-01,2024-05,12095.86,12095.86,Paid,6110-001,CC-MIDWEST,PR-867717,Active,,
AP-INV-395074,SAP ECC 6.0,AP,GL-BAD7A513,CC-TWR-874568,Commercial Property Owner,2024-06-01,2024-06,4651.16,4651.16,Paid,6110-100,CC-MIDWEST,PO-465942,Pending Renewal,,
AP-INV-536152,SAP ECC 6.0,AR,TL-A800B61F,CC-TWR-322423,Verizon,2024-05-01,2024-05,4424.01,4424.01,Cleared,4210-100,CC-SOUTHWEST,REQ-782070,Active,,
BILL-193873,SAP ECC 6.0,AR,TL-CAAACE50,CC-TWR-841521,US Cellular,2024-12-01,2024-12,2334.5,2334.5,Received,4210-100,CC-MIDWEST,PO-580613,Active,,
BILL-986022,SAP S/4HANA,AR,TL-786F1E58,CC-TWR-130353,Verizon Wireless,2024-04-01,2024-04,3743.41,3743.41,Received,4210-100,CC-SOUTHEAST,REQ-980415,Active,carrier_name,
BILL-461128,Oracle EBS R12,AR,TL-ABC362D9,CC-TWR-910075,T-Mobile,2025-01-01,2025-01,4511.84,4511.84,Cleared,4210-001,CC-WEST,PR-531247,Active,,
INV-395355,Workday Financials,AR,TL-8AD98F74,CC-TWR-460663,Verizon,2024-08-01,2024-08,3158.85,3158.85,Applied,4210-050,CC-NORTHEAST,PO-457637,Active,,
SI-797733,SAP ECC 6.0,AP,GL-B39CC626,CC-TWR-766275,County Government,2025-02-01,2025-02,1175.2,1175.2,Paid,6110-100,CC-SOUTHEAST,REQ-511864,Active,,
SI-943955,SAP ECC 6.0,AR,TL-71AA8CE8,CC-TWR-416822,Verizon,2024-08-01,2024-08,6077.0,5440.11,Applied,4210-050,CC-SOUTHWEST,PO-542126,Pending Renewal,amount_mismatch,
AP-INV-941070,SAP ECC 6.0,AR,TL-4777D5FC,CC-TWR-280908,T-Mobile,2024-08-01,2024-08,4915.97,4915.97,Cleared,4210-001,CC-NORTHEAST,REQ-996969,Pending Renewal,,
BILL-433430,Oracle EBS R12,AP,GL-75897628,CC-TWR-986593,Church/Religious Org,2025-01-01,2025-01,677.5,677.5,Cleared,6110-100,CC-MIDWEST,PO-544263,Active,,
BILL-812749,Oracle EBS R12,AP,GL-7D435920,CC-TWR-460745,Tribal Authority,2025-02-01,2025-02,5002.03,5002.03,Paid,6110-002,CC-SOUTHEAST,PO-461301,Active,,
BILL-153331,SAP S/4HANA,AP,GL-9C0CC327,CC-TWR-322423,Federal Agency,2024-12-01,2024-12,4877.42,4735.36,Paid,6110-100,CC-SOUTHWEST,PR-520790,Active,over_escalation,
BILL-424542,Oracle Cloud ERP,AR,TL-FF2DB7B8,CC-TWR-521126,Verizon,2024-04-01,2024-04,3068.68,3068.68,Cleared,4210-100,CC-MIDWEST,PR-895997,Pending Renewal,,
PO-INV-918180,SAP ECC 6.0,AR,TL-E0BFC17E,CC-TWR-755420,Verizon,2025-03-01,2025-03,3419.36,3419.36,Received,4210-001,CC-WEST,PO-589665,Amendment Pending,,
SI-876230,SAP ECC 6.0,AR,TL-7B7404BA,CC-TWR-398761,AT&T,2024-10-01,2024-10,5979.36,5979.36,Received,4210-001,CC-SOUTHEAST,PO-877219,Amendment Pending,,
AP-INV-717677,Workday Financials,AP,GL-CFE060AD,CC-TWR-313701,Commercial Property Owner,2024-08-01,2024-08,7105.64,7105.64,Paid,6110-002,CC-SOUTHWEST,REQ-863621,Active,,
INV-279419,Oracle EBS R12,AR,TL-E7134316,CC-TWR-717661,AT&T,2024-10-01,2024-10,2528.74,2528.74,Received,4210-050,CC-SOUTHEAST,PO-600480,Active,,
BILL-204249,SAP S/4HANA,AR,TL-D7F64ADB,CC-TWR-133958,T-Mobile,2025-02-01,2025-02,3204.77,3204.77,Received,4210-100,CC-SOUTHEAST,PO-667096,Terminated,,
SI-590629,Oracle EBS R12,AR,TL-970D5390,CC-TWR-665610,T-Mobile,2024-12-01,2024-12,4490.78,4814.64,Pending,4210-100,CC-SOUTHWEST,PR-700590,Active,amount_mismatch,
SI-658492,Oracle EBS R12,AP,GL-02FDD5F6,CC-TWR-497562,Church/Religious Org,2025-03-01,2025-03,3760.36,3760.36,Cleared,6110-001,CC-MIDWEST,PO-643899,Under Renegotiation,,
AP-INV-426436,SAP S/4HANA,AR,TL-250DF96E,CC-TWR-372427,Verizon,2024-11-01,2024-11,4389.47,4389.47,Received,4210-100,CC-SOUTHEAST,REQ-646777,Active,,
PO-INV-237889,Oracle Cloud ERP,AR,TL-BE18D596,CC-TWR-251716,Verizon,2025-03-01,2025-03,4651.48,4651.48,Received,4210-100,CC-SOUTHEAST,REQ-952169,Active,,
SI-291470,SAP ECC 6.0,AR,TL-37F063F7,CC-TWR-665579,Verizon,2024-10-01,2024-10,8235.98,8235.98,Received,4210-050,CC-NORTHEAST,PR-501306,Active,,
PO-INV-143592,SAP ECC 6.0,AP,GL-47BA81F6,CC-TWR-770872,Federal Agency,2025-01-01,2025-01,1436.05,1421.84,Cleared,6110-002,CC-SOUTHWEST,PO-661839,Pending Renewal,over_escalation,
INV-472731,SAP S/4HANA,AR,TL-423DA0E2,CC-TWR-571404,T-Mobile,2024-04-01,2024-04,3266.11,3266.11,Received,4210-001,CC-NORTHEAST,PO-563971,Active,,
BILL-183538,Oracle Cloud ERP,AP,GL-72F34767,CC-TWR-988319,Federal Agency,2024-10-01,2024-10,1325.29,2131.65,Paid,6110-001,CC-WEST,REQ-708827,Pending Renewal,missed_escalation,
AP-INV-186589,SAP ECC 6.0,AR,TL-5E47AFF3,CC-TWR-749253,AT&T,2024-04-01,2024-04,2630.21,2630.21,Received,4210-001,CC-SOUTHEAST,PR-699511,Active,,
INV-237381,Workday Financials,AR,TL-D77DD19D,CC-TWR-794663,Verizon,2024-07-01,2024-07,6388.76,6388.76,Received,4210-001,CC-MIDWEST,REQ-678313,Active,,
