access_id,tower_id,access_date,carrier,contractor,purpose,duration_hours,has_matching_mod_application,discrepancy_type,notes
ACC-971084-20240804-3,CC-TWR-971084,2024-08-04,T-Mobile,Ericsson Services,Decommission,6.2,False,none,
ACC-971084-20241003-4,CC-TWR-971084,2024-10-03,T-Mobile,SAI Group,Generator Service,7.8,False,none,
ACC-971084-20240923-5,CC-TWR-971084,2024-09-23,C Spire,Nokia Deployment,Routine Maintenance,11.1,True,none,
ACC-971084-20250123-6,CC-TWR-971084,2025-01-23,C Spire,SAI Group,Decommission,4.8,False,none,
ACC-971084-20241213-7,CC-TWR-971084,2024-12-13,T-Mobile,Unknown,Unknown,1.5,True,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-977345-20241209-1,CC-TWR-977345,2024-12-09,AT&T,SAI Group,Equipment Install,10.0,False,none,
ACC-977345-20240815-2,CC-TWR-977345,2024-08-15,Verizon,MasTec,Equipment Install,2.9,True,none,
ACC-778636-20241014-1,CC-TWR-778636,2024-10-14,T-Mobile,Nokia Deployment,Decommission,7.0,False,none,
ACC-778636-20241101-2,CC-TWR-778636,2024-11-01,T-Mobile,Black & Veatch,Emergency Repair,6.0,False,none,
ACC-778636-20241030-3,CC-TWR-778636,2024-10-30,T-Mobile,Black & Veatch,Inspection,10.5,False,none,
ACC-778636-20240720-4,CC-TWR-778636,2024-07-20,Verizon,Unknown,Generator Service,4.3,False,none,
ACC-478638-20241021-1,CC-TWR-478638,2024-10-21,DISH Wireless,CommScope Install,Routine Maintenance,8.2,False,none,
ACC-478638-20241008-2,CC-TWR-478638,2024-10-08,DISH Wireless,Black & Veatch,Emergency Repair,9.9,False,none,
ACC-478638-20240901-3,CC-TWR-478638,2024-09-01,DISH Wireless,Black & Veatch,Equipment Install,8.1,False,none,
ACC-478638-20240827-4,CC-TWR-478638,2024-08-27,DISH Wireless,MasTec,Inspection,12.0,False,none,
ACC-782141-20250113-1,CC-TWR-782141,2025-01-13,DISH Wireless,Unknown,Emergency Repair,3.8,False,none,
ACC-782141-20240728-2,CC-TWR-782141,2024-07-28,Verizon,Vertical Bridge Services,Generator Service,7.2,False,none,
ACC-132359-20250205-1,CC-TWR-132359,2025-02-05,DISH Wireless,SAI Group,Generator Service,11.1,False,none,
ACC-132359-20240618-2,CC-TWR-132359,2024-06-18,Verizon,SAI Group,Emergency Repair,10.5,False,none,
ACC-132359-20240930-3,CC-TWR-132359,2024-09-30,DISH Wireless,Nokia Deployment,Generator Service,10.4,False,none,
ACC-132359-20240609-4,CC-TWR-132359,2024-06-09,DISH Wireless,Black & Veatch,Inspection,7.8,False,none,
ACC-132359-20240614-5,CC-TWR-132359,2024-06-14,Verizon,Nokia Deployment,Equipment Install,7.6,False,none,
ACC-132359-20240928-6,CC-TWR-132359,2024-09-28,DISH Wireless,Black & Veatch,Emergency Repair,2.3,False,none,
ACC-132359-20240624-7,CC-TWR-132359,2024-06-24,Verizon,CommScope Install,Decommission,1.9,False,none,
ACC-132359-20250130-8,CC-TWR-132359,2025-01-30,Verizon,Vertical Bridge Services,Generator Service,10.0,False,none,
ACC-423939-20241207-1,CC-TWR-423939,2024-12-07,T-Mobile,Vertical Bridge Services,Emergency Repair,1.5,False,none,
ACC-423939-20250212-2,CC-TWR-423939,2025-02-12,Verizon,Unknown,Equipment Install,11.6,False,none,
ACC-423939-20250215-3,CC-TWR-423939,2025-02-15,Verizon,SAI Group,Decommission,4.0,False,none,
ACC-423939-20241015-4,CC-TWR-423939,2024-10-15,T-Mobile,CommScope Install,Inspection,6.8,False,none,
ACC-423939-20240913-5,CC-TWR-423939,2024-09-13,T-Mobile,Nokia Deployment,Routine Maintenance,9.5,False,none,
ACC-423939-20240710-6,CC-TWR-423939,2024-07-10,Verizon,Summit Field Ops,Emergency Repair,4.2,False,none,
ACC-665610-20250201-1,CC-TWR-665610,2025-02-01,AT&T,SAI Group,Emergency Repair,5.1,True,none,
ACC-665610-20250121-2,CC-TWR-665610,2025-01-21,AT&T,Vertical Bridge Services,Routine Maintenance,2.0,True,none,
ACC-665610-20240913-3,CC-TWR-665610,2024-09-13,C Spire,CommScope Install,Generator Service,8.0,False,none,
ACC-665610-20250221-4,CC-TWR-665610,2025-02-21,AT&T,MasTec,Emergency Repair,9.4,False,none,
ACC-665610-20250209-5,CC-TWR-665610,2025-02-09,T-Mobile,MasTec,Equipment Install,10.9,False,none,
ACC-959959-20240602-1,CC-TWR-959959,2024-06-02,T-Mobile,Unknown,Unknown,1.4,True,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-959959-20240815-2,CC-TWR-959959,2024-08-15,AT&T,Ericsson Services,Decommission,3.5,False,none,
ACC-959959-20250209-3,CC-TWR-959959,2025-02-09,T-Mobile,Black & Veatch,Equipment Install,8.3,False,none,
ACC-972565-20250213-1,CC-TWR-972565,2025-02-13,T-Mobile,Nokia Deployment,Inspection,5.7,False,none,
ACC-972565-20240706-2,CC-TWR-972565,2024-07-06,Verizon,MasTec,Decommission,5.3,False,none,
ACC-972565-20240904-3,CC-TWR-972565,2024-09-04,T-Mobile,Unknown,Unknown,3.5,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-972565-20240613-4,CC-TWR-972565,2024-06-13,Verizon,Vertical Bridge Services,Generator Service,4.0,False,none,
ACC-972565-20241030-5,CC-TWR-972565,2024-10-30,T-Mobile,Black & Veatch,Decommission,7.3,True,none,
ACC-972565-20250201-6,CC-TWR-972565,2025-02-01,Verizon,Summit Field Ops,Emergency Repair,2.7,False,none,
ACC-972565-20241224-7,CC-TWR-972565,2024-12-24,Verizon,Nokia Deployment,Routine Maintenance,8.3,False,none,
ACC-972565-20250204-8,CC-TWR-972565,2025-02-04,T-Mobile,Black & Veatch,Routine Maintenance,4.5,False,none,
ACC-466375-20240604-1,CC-TWR-466375,2024-06-04,Verizon,Ericsson Services,Decommission,6.3,False,none,
ACC-466375-20240718-2,CC-TWR-466375,2024-07-18,Verizon,Ericsson Services,Equipment Install,7.1,False,none,
ACC-466375-20240617-3,CC-TWR-466375,2024-06-17,Verizon,SAI Group,Routine Maintenance,7.3,False,none,
ACC-466375-20240710-4,CC-TWR-466375,2024-07-10,Verizon,CommScope Install,Emergency Repair,7.1,False,none,
ACC-466375-20241023-5,CC-TWR-466375,2024-10-23,T-Mobile,Vertical Bridge Services,Generator Service,6.4,False,none,
ACC-466375-20240619-6,CC-TWR-466375,2024-06-19,Verizon,Ericsson Services,Generator Service,5.7,False,none,
ACC-466375-20250127-7,CC-TWR-466375,2025-01-27,T-Mobile,CommScope Install,Inspection,8.3,False,none,
ACC-466375-20240703-8,CC-TWR-466375,2024-07-03,Verizon,Unknown,Equipment Install,9.7,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-460572-20241130-1,CC-TWR-460572,2024-11-30,T-Mobile,Ericsson Services,Generator Service,10.3,False,none,
ACC-460572-20241024-2,CC-TWR-460572,2024-10-24,T-Mobile,CommScope Install,Equipment Install,4.1,False,none,
ACC-460572-20241204-3,CC-TWR-460572,2024-12-04,AT&T,CommScope Install,Inspection,2.3,False,none,
ACC-460572-20241116-4,CC-TWR-460572,2024-11-16,AT&T,Summit Field Ops,Routine Maintenance,10.9,False,none,
ACC-480303-20250108-1,CC-TWR-480303,2025-01-08,T-Mobile,Vertical Bridge Services,Equipment Install,7.1,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-480303-20240909-2,CC-TWR-480303,2024-09-09,T-Mobile,CommScope Install,Decommission,8.2,False,none,
ACC-480303-20241204-3,CC-TWR-480303,2024-12-04,T-Mobile,Vertical Bridge Services,Emergency Repair,1.1,False,none,
ACC-480303-20241004-4,CC-TWR-480303,2024-10-04,Verizon,CommScope Install,Emergency Repair,3.0,False,none,
ACC-480303-20240610-5,CC-TWR-480303,2024-06-10,T-Mobile,Black & Veatch,Inspection,4.4,False,none,
ACC-480303-20250218-6,CC-TWR-480303,2025-02-18,T-Mobile,Summit Field Ops,Inspection,3.5,False,none,
ACC-197966-20240825-1,CC-TWR-197966,2024-08-25,DISH Wireless,Black & Veatch,Emergency Repair,8.4,False,none,
ACC-197966-20241114-2,CC-TWR-197966,2024-11-14,DISH Wireless,SAI Group,Emergency Repair,10.6,False,none,
ACC-197966-20240928-3,CC-TWR-197966,2024-09-28,DISH Wireless,MasTec,Generator Service,7.4,False,none,
ACC-857997-20240712-1,CC-TWR-857997,2024-07-12,T-Mobile,Nokia Deployment,Antenna Swap,11.1,False,none,
ACC-857997-20240906-2,CC-TWR-857997,2024-09-06,T-Mobile,Nokia Deployment,Antenna Swap,8.4,False,none,
ACC-857997-20250212-3,CC-TWR-857997,2025-02-12,T-Mobile,Vertical Bridge Services,Emergency Repair,4.7,False,none,
ACC-788049-20241207-1,CC-TWR-788049,2024-12-07,Verizon,Summit Field Ops,Generator Service,5.0,False,none,
ACC-788049-20241218-2,CC-TWR-788049,2024-12-18,Verizon,Black & Veatch,Antenna Swap,4.8,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-788049-20240621-3,CC-TWR-788049,2024-06-21,Verizon,Vertical Bridge Services,Equipment Install,9.9,False,none,
ACC-788049-20240811-4,CC-TWR-788049,2024-08-11,Verizon,CommScope Install,Antenna Swap,8.9,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-280908-20250122-1,CC-TWR-280908,2025-01-22,T-Mobile,Nokia Deployment,Routine Maintenance,10.4,False,none,
ACC-280908-20241110-2,CC-TWR-280908,2024-11-10,T-Mobile,SAI Group,Inspection,2.5,False,none,
ACC-280908-20241025-3,CC-TWR-280908,2024-10-25,Verizon,Summit Field Ops,Inspection,11.4,False,none,
ACC-151328-20241207-1,CC-TWR-151328,2024-12-07,T-Mobile,MasTec,Generator Service,6.1,False,none,
ACC-151328-20240815-2,CC-TWR-151328,2024-08-15,T-Mobile,Ericsson Services,Equipment Install,8.9,False,none,
ACC-151328-20241022-3,CC-TWR-151328,2024-10-22,T-Mobile,MasTec,Emergency Repair,1.9,False,none,
ACC-151328-20241203-4,CC-TWR-151328,2024-12-03,T-Mobile,MasTec,Equipment Install,1.6,False,none,
ACC-151328-20241216-5,CC-TWR-151328,2024-12-16,T-Mobile,Nokia Deployment,Generator Service,10.1,False,none,
ACC-389930-20241118-1,CC-TWR-389930,2024-11-18,T-Mobile,Unknown,Unknown,10.9,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-389930-20250118-2,CC-TWR-389930,2025-01-18,T-Mobile,Summit Field Ops,Decommission,10.3,False,none,
ACC-389930-20241012-3,CC-TWR-389930,2024-10-12,T-Mobile,SAI Group,Equipment Install,4.5,True,none,
ACC-389930-20250101-4,CC-TWR-389930,2025-01-01,T-Mobile,CommScope Install,Equipment Install,7.4,False,none,
ACC-791567-20250131-1,CC-TWR-791567,2025-01-31,Verizon,Ericsson Services,Routine Maintenance,7.5,False,none,
ACC-791567-20240606-2,CC-TWR-791567,2024-06-06,T-Mobile,CommScope Install,Decommission,11.4,False,none,
ACC-791567-20241201-3,CC-TWR-791567,2024-12-01,AT&T,Summit Field Ops,Inspection,1.7,False,none,
ACC-791567-20241019-4,CC-TWR-791567,2024-10-19,Verizon,CommScope Install,Decommission,2.8,False,none,
ACC-791567-20250131-5,CC-TWR-791567,2025-01-31,Verizon,Summit Field Ops,Routine Maintenance,5.9,False,none,
ACC-791567-20240720-6,CC-TWR-791567,2024-07-20,Verizon,Unknown,Emergency Repair,2.6,False,none,
ACC-791567-20241221-7,CC-TWR-791567,2024-12-21,AT&T,Nokia Deployment,Inspection,3.4,False,none,
ACC-791567-20240813-8,CC-TWR-791567,2024-08-13,Verizon,Black & Veatch,Generator Service,4.4,False,none,
ACC-561477-20250201-1,CC-TWR-561477,2025-02-01,AT&T,MasTec,Emergency Repair,2.5,False,none,
ACC-561477-20240709-2,CC-TWR-561477,2024-07-09,US Cellular,MasTec,Generator Service,4.7,False,none,
ACC-561477-20241129-3,CC-TWR-561477,2024-11-29,C Spire,CommScope Install,Inspection,2.8,False,none,
ACC-561477-20240704-4,CC-TWR-561477,2024-07-04,US Cellular,Unknown,Emergency Repair,12.0,False,none,
ACC-561477-20240706-5,CC-TWR-561477,2024-07-06,AT&T,MasTec,Antenna Swap,4.3,False,none,
ACC-561477-20250222-6,CC-TWR-561477,2025-02-22,US Cellular,Vertical Bridge Services,Generator Service,5.0,False,none,
ACC-561477-20241215-7,CC-TWR-561477,2024-12-15,AT&T,Summit Field Ops,Emergency Repair,6.8,True,none,
ACC-213355-20240927-1,CC-TWR-213355,2024-09-27,T-Mobile,Ericsson Services,Antenna Swap,2.1,False,none,
ACC-213355-20240715-2,CC-TWR-213355,2024-07-15,T-Mobile,Unknown,Generator Service,8.0,True,none,
ACC-213355-20240701-3,CC-TWR-213355,2024-07-01,T-Mobile,MasTec,Emergency Repair,2.3,True,none,
ACC-213355-20241211-4,CC-TWR-213355,2024-12-11,T-Mobile,Ericsson Services,Routine Maintenance,3.3,False,none,
ACC-579404-20240728-1,CC-TWR-579404,2024-07-28,Verizon,Nokia Deployment,Generator Service,2.6,False,none,
ACC-579404-20240710-2,CC-TWR-579404,2024-07-10,DISH Wireless,CommScope Install,Routine Maintenance,9.9,True,none,
ACC-322423-20250131-1,CC-TWR-322423,2025-01-31,T-Mobile,MasTec,Routine Maintenance,3.4,False,none,
ACC-322423-20250129-2,CC-TWR-322423,2025-01-29,T-Mobile,SAI Group,Emergency Repair,1.3,False,none,
ACC-322423-20240717-3,CC-TWR-322423,2024-07-17,Verizon,Summit Field Ops,Emergency Repair,7.4,True,none,
ACC-322423-20241008-4,CC-TWR-322423,2024-10-08,T-Mobile,Unknown,Decommission,6.7,False,none,
ACC-322423-20241026-5,CC-TWR-322423,2024-10-26,Verizon,Black & Veatch,Generator Service,5.1,False,none,
ACC-322423-20241104-6,CC-TWR-322423,2024-11-04,Verizon,Summit Field Ops,Emergency Repair,3.6,False,none,
ACC-497562-20240721-1,CC-TWR-497562,2024-07-21,T-Mobile,SAI Group,Inspection,5.9,False,none,
ACC-497562-20240619-2,CC-TWR-497562,2024-06-19,T-Mobile,Black & Veatch,Routine Maintenance,3.9,False,none,
ACC-497562-20241017-3,CC-TWR-497562,2024-10-17,US Cellular,Vertical Bridge Services,Equipment Install,2.8,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-497562-20241212-4,CC-TWR-497562,2024-12-12,US Cellular,Nokia Deployment,Antenna Swap,8.9,False,none,
ACC-497562-20250203-5,CC-TWR-497562,2025-02-03,US Cellular,MasTec,Equipment Install,8.8,False,none,
ACC-497562-20240711-6,CC-TWR-497562,2024-07-11,US Cellular,MasTec,Routine Maintenance,9.5,False,none,
ACC-871476-20241009-1,CC-TWR-871476,2024-10-09,AT&T,Summit Field Ops,Routine Maintenance,8.8,False,none,
ACC-871476-20240726-2,CC-TWR-871476,2024-07-26,AT&T,Nokia Deployment,Decommission,10.4,False,none,
ACC-871476-20241226-3,CC-TWR-871476,2024-12-26,AT&T,Unknown,Routine Maintenance,9.6,False,none,
ACC-871476-20241005-4,CC-TWR-871476,2024-10-05,AT&T,Summit Field Ops,Decommission,10.2,False,none,
ACC-871476-20240605-5,CC-TWR-871476,2024-06-05,AT&T,Vertical Bridge Services,Emergency Repair,10.0,False,none,
ACC-211425-20240920-1,CC-TWR-211425,2024-09-20,AT&T,Unknown,Generator Service,10.0,False,none,
ACC-211425-20240612-2,CC-TWR-211425,2024-06-12,AT&T,Unknown,Inspection,6.3,False,none,
ACC-288503-20250206-1,CC-TWR-288503,2025-02-06,AT&T,Black & Veatch,Decommission,2.3,False,none,
ACC-288503-20241101-2,CC-TWR-288503,2024-11-01,AT&T,Nokia Deployment,Inspection,10.5,False,none,
ACC-288503-20240919-3,CC-TWR-288503,2024-09-19,AT&T,Ericsson Services,Generator Service,11.1,False,none,
ACC-841666-20241216-1,CC-TWR-841666,2024-12-16,T-Mobile,CommScope Install,Equipment Install,9.8,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-841666-20240815-2,CC-TWR-841666,2024-08-15,T-Mobile,Ericsson Services,Generator Service,3.4,False,none,
ACC-841666-20250216-3,CC-TWR-841666,2025-02-16,T-Mobile,MasTec,Equipment Install,1.3,True,none,
ACC-841666-20241106-4,CC-TWR-841666,2024-11-06,AT&T,Summit Field Ops,Emergency Repair,10.6,False,none,
ACC-502810-20241229-1,CC-TWR-502810,2024-12-29,C Spire,Vertical Bridge Services,Antenna Swap,5.7,False,none,
ACC-502810-20250226-2,CC-TWR-502810,2025-02-26,T-Mobile,MasTec,Equipment Install,4.8,True,none,
ACC-502810-20241029-3,CC-TWR-502810,2024-10-29,T-Mobile,Black & Veatch,Emergency Repair,6.6,False,none,
ACC-502810-20250212-4,CC-TWR-502810,2025-02-12,C Spire,Unknown,Inspection,5.3,False,none,
ACC-502810-20250220-5,CC-TWR-502810,2025-02-20,C Spire,CommScope Install,Decommission,2.4,False,none,
ACC-502810-20240703-6,CC-TWR-502810,2024-07-03,T-Mobile,MasTec,Emergency Repair,6.9,False,none,
ACC-502810-20240818-7,CC-TWR-502810,2024-08-18,C Spire,CommScope Install,Generator Service,11.2,True,none,
ACC-154615-20240810-1,CC-TWR-154615,2024-08-10,Verizon,Vertical Bridge Services,Antenna Swap,5.7,False,none,
ACC-154615-20241015-2,CC-TWR-154615,2024-10-15,Verizon,Unknown,Decommission,7.7,False,none,
ACC-154615-20241129-3,CC-TWR-154615,2024-11-29,Verizon,MasTec,Routine Maintenance,10.3,False,none,
ACC-154615-20240624-4,CC-TWR-154615,2024-06-24,Verizon,Black & Veatch,Decommission,3.7,False,none,
ACC-579318-20240916-1,CC-TWR-579318,2024-09-16,T-Mobile,Summit Field Ops,Generator Service,1.6,False,none,
ACC-579318-20241122-2,CC-TWR-579318,2024-11-22,AT&T,CommScope Install,Emergency Repair,4.5,False,none,
ACC-579318-20250216-3,CC-TWR-579318,2025-02-16,T-Mobile,Ericsson Services,Generator Service,7.6,False,none,
ACC-579318-20241010-4,CC-TWR-579318,2024-10-10,T-Mobile,Nokia Deployment,Routine Maintenance,7.2,False,none,
ACC-579318-20250122-5,CC-TWR-579318,2025-01-22,T-Mobile,Unknown,Unknown,6.6,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-579318-20241220-6,CC-TWR-579318,2024-12-20,AT&T,Unknown,Inspection,1.5,False,none,
ACC-579318-20241222-7,CC-TWR-579318,2024-12-22,AT&T,CommScope Install,Decommission,6.4,False,none,
ACC-579318-20241101-8,CC-TWR-579318,2024-11-01,AT&T,Vertical Bridge Services,Emergency Repair,2.0,False,none,
ACC-827369-20241103-1,CC-TWR-827369,2024-11-03,Verizon,Nokia Deployment,Equipment Install,4.0,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-827369-20240721-2,CC-TWR-827369,2024-07-21,T-Mobile,Black & Veatch,Emergency Repair,7.8,False,none,
ACC-827369-20240901-3,CC-TWR-827369,2024-09-01,Verizon,SAI Group,Antenna Swap,8.9,False,none,
ACC-888734-20240723-1,CC-TWR-888734,2024-07-23,AT&T,SAI Group,Routine Maintenance,10.9,True,none,
ACC-888734-20240915-2,CC-TWR-888734,2024-09-15,AT&T,Unknown,Inspection,2.9,False,none,
ACC-888734-20241208-3,CC-TWR-888734,2024-12-08,AT&T,Ericsson Services,Antenna Swap,10.3,False,none,
ACC-888734-20240605-4,CC-TWR-888734,2024-06-05,AT&T,Summit Field Ops,Antenna Swap,11.4,False,none,
ACC-611945-20240829-1,CC-TWR-611945,2024-08-29,DISH Wireless,Unknown,Routine Maintenance,3.9,False,none,
ACC-611945-20240911-2,CC-TWR-611945,2024-09-11,DISH Wireless,Black & Veatch,Generator Service,6.0,False,none,
ACC-611945-20250221-3,CC-TWR-611945,2025-02-21,AT&T,Summit Field Ops,Inspection,1.8,False,none,
ACC-611945-20241123-4,CC-TWR-611945,2024-11-23,Verizon,CommScope Install,Routine Maintenance,8.8,False,none,
ACC-611945-20241121-5,CC-TWR-611945,2024-11-21,AT&T,Summit Field Ops,Inspection,2.0,False,none,
ACC-611945-20241111-6,CC-TWR-611945,2024-11-11,C Spire,Black & Veatch,Routine Maintenance,3.2,False,none,
ACC-611945-20240923-7,CC-TWR-611945,2024-09-23,Verizon,MasTec,Decommission,8.7,False,none,
ACC-387330-20240719-1,CC-TWR-387330,2024-07-19,Verizon,Unknown,Emergency Repair,3.2,False,none,
ACC-387330-20250207-2,CC-TWR-387330,2025-02-07,Verizon,Ericsson Services,Routine Maintenance,9.0,False,none,
ACC-387330-20240914-3,CC-TWR-387330,2024-09-14,Verizon,CommScope Install,Emergency Repair,10.1,False,none,
ACC-829066-20240715-1,CC-TWR-829066,2024-07-15,AT&T,MasTec,Decommission,9.0,False,none,
ACC-829066-20240904-2,CC-TWR-829066,2024-09-04,AT&T,Vertical Bridge Services,Inspection,7.8,False,none,
ACC-829066-20241222-3,CC-TWR-829066,2024-12-22,AT&T,Vertical Bridge Services,Decommission,9.5,False,none,
ACC-829066-20240914-4,CC-TWR-829066,2024-09-14,AT&T,Unknown,Decommission,9.6,False,none,
ACC-829066-20250118-5,CC-TWR-829066,2025-01-18,AT&T,Unknown,Emergency Repair,6.2,False,none,
ACC-829066-20240912-6,CC-TWR-829066,2024-09-12,AT&T,Nokia Deployment,Routine Maintenance,8.6,False,none,
ACC-963333-20250113-1,CC-TWR-963333,2025-01-13,Verizon,Unknown,Unknown,5.2,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-963333-20240727-2,CC-TWR-963333,2024-07-27,T-Mobile,CommScope Install,Antenna Swap,10.3,False,none,
ACC-963333-20240827-3,CC-TWR-963333,2024-08-27,T-Mobile,Summit Field Ops,Equipment Install,5.1,False,none,
ACC-963333-20250215-4,CC-TWR-963333,2025-02-15,Verizon,SAI Group,Emergency Repair,9.8,False,none,
ACC-887443-20250225-1,CC-TWR-887443,2025-02-25,US Cellular,Black & Veatch,Emergency Repair,4.4,False,none,
ACC-887443-20240707-2,CC-TWR-887443,2024-07-07,US Cellular,Unknown,Generator Service,7.2,False,none,
ACC-887443-20241031-3,CC-TWR-887443,2024-10-31,US Cellular,Ericsson Services,Routine Maintenance,5.6,False,none,
ACC-887443-20241106-4,CC-TWR-887443,2024-11-06,US Cellular,Ericsson Services,Generator Service,10.4,False,none,
ACC-773870-20241115-1,CC-TWR-773870,2024-11-15,Verizon,Unknown,Emergency Repair,4.4,False,none,
ACC-773870-20241114-2,CC-TWR-773870,2024-11-14,Verizon,SAI Group,Inspection,9.8,False,none,
ACC-773870-20241019-3,CC-TWR-773870,2024-10-19,Verizon,Ericsson Services,Antenna Swap,10.6,False,none,
ACC-773870-20241205-4,CC-TWR-773870,2024-12-05,AT&T,CommScope Install,Equipment Install,5.2,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-773870-20241116-5,CC-TWR-773870,2024-11-16,T-Mobile,Vertical Bridge Services,Equipment Install,2.2,False,none,
ACC-773870-20250101-6,CC-TWR-773870,2025-01-01,T-Mobile,SAI Group,Routine Maintenance,7.6,False,none,
ACC-560959-20250115-1,CC-TWR-560959,2025-01-15,Verizon,Summit Field Ops,Generator Service,3.4,True,none,
ACC-560959-20250226-2,CC-TWR-560959,2025-02-26,Verizon,MasTec,Decommission,9.7,False,none,
ACC-560959-20241119-3,CC-TWR-560959,2024-11-19,Verizon,Nokia Deployment,Equipment Install,2.8,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-753534-20250205-1,CC-TWR-753534,2025-02-05,T-Mobile,Summit Field Ops,Antenna Swap,4.0,False,none,
ACC-753534-20250217-2,CC-TWR-753534,2025-02-17,T-Mobile,Black & Veatch,Routine Maintenance,2.3,False,none,
ACC-753534-20241109-3,CC-TWR-753534,2024-11-09,T-Mobile,MasTec,Generator Service,3.9,False,none,
ACC-132653-20240612-1,CC-TWR-132653,2024-06-12,AT&T,MasTec,Emergency Repair,6.4,False,none,
ACC-132653-20250110-2,CC-TWR-132653,2025-01-10,AT&T,SAI Group,Decommission,3.2,False,none,
ACC-132653-20241025-3,CC-TWR-132653,2024-10-25,AT&T,Summit Field Ops,Equipment Install,9.4,False,none,
ACC-132653-20240809-4,CC-TWR-132653,2024-08-09,AT&T,Unknown,Unknown,11.5,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-132653-20241126-5,CC-TWR-132653,2024-11-26,AT&T,Nokia Deployment,Generator Service,8.0,False,none,
ACC-132653-20240617-6,CC-TWR-132653,2024-06-17,AT&T,Summit Field Ops,Generator Service,3.3,False,none,
ACC-132653-20240826-7,CC-TWR-132653,2024-08-26,AT&T,Nokia Deployment,Antenna Swap,9.5,False,none,
ACC-582662-20250129-1,CC-TWR-582662,2025-01-29,DISH Wireless,Ericsson Services,Generator Service,9.4,False,none,
ACC-582662-20241127-2,CC-TWR-582662,2024-11-27,DISH Wireless,Nokia Deployment,Antenna Swap,8.5,False,none,
ACC-582662-20240704-3,CC-TWR-582662,2024-07-04,DISH Wireless,Black & Veatch,Equipment Install,4.0,False,none,
ACC-582662-20240613-4,CC-TWR-582662,2024-06-13,DISH Wireless,CommScope Install,Decommission,10.2,False,none,
ACC-582662-20240606-5,CC-TWR-582662,2024-06-06,DISH Wireless,CommScope Install,Inspection,3.5,False,none,
ACC-558339-20240628-1,CC-TWR-558339,2024-06-28,T-Mobile,Ericsson Services,Routine Maintenance,3.2,False,none,
ACC-558339-20241113-2,CC-TWR-558339,2024-11-13,T-Mobile,Nokia Deployment,Emergency Repair,6.2,False,none,
ACC-558339-20241007-3,CC-TWR-558339,2024-10-07,T-Mobile,Summit Field Ops,Decommission,1.2,False,none,
ACC-558339-20250210-4,CC-TWR-558339,2025-02-10,T-Mobile,CommScope Install,Emergency Repair,6.0,False,none,
ACC-558339-20250208-5,CC-TWR-558339,2025-02-08,T-Mobile,Unknown,Decommission,7.8,False,none,
ACC-558339-20241102-6,CC-TWR-558339,2024-11-02,T-Mobile,SAI Group,Inspection,2.1,False,none,
ACC-558339-20240608-7,CC-TWR-558339,2024-06-08,T-Mobile,MasTec,Routine Maintenance,5.7,False,none,
ACC-701253-20250101-1,CC-TWR-701253,2025-01-01,C Spire,Nokia Deployment,Inspection,1.9,False,none,
ACC-701253-20240724-2,CC-TWR-701253,2024-07-24,C Spire,Unknown,Decommission,5.7,False,none,
ACC-493663-20241109-1,CC-TWR-493663,2024-11-09,Verizon,Summit Field Ops,Generator Service,9.9,False,none,
ACC-493663-20241225-2,CC-TWR-493663,2024-12-25,DISH Wireless,MasTec,Antenna Swap,3.6,False,none,
ACC-493663-20240813-3,CC-TWR-493663,2024-08-13,DISH Wireless,MasTec,Routine Maintenance,2.4,False,none,
ACC-493663-20240621-4,CC-TWR-493663,2024-06-21,Verizon,SAI Group,Routine Maintenance,5.7,False,none,
ACC-493663-20240828-5,CC-TWR-493663,2024-08-28,Verizon,MasTec,Inspection,8.4,False,none,
ACC-493663-20240924-6,CC-TWR-493663,2024-09-24,Verizon,Vertical Bridge Services,Generator Service,1.7,False,none,
ACC-493663-20241209-7,CC-TWR-493663,2024-12-09,Verizon,Ericsson Services,Antenna Swap,8.2,False,none,
ACC-493663-20241115-8,CC-TWR-493663,2024-11-15,DISH Wireless,Nokia Deployment,Inspection,7.7,False,none,
ACC-823846-20241225-1,CC-TWR-823846,2024-12-25,AT&T,Black & Veatch,Antenna Swap,7.4,False,none,
ACC-823846-20250129-2,CC-TWR-823846,2025-01-29,AT&T,Black & Veatch,Inspection,10.5,False,none,
ACC-823846-20241125-3,CC-TWR-823846,2024-11-25,Verizon,MasTec,Routine Maintenance,7.2,False,none,
